Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z,joint0_pos,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint7_pos,joint8_pos,joint9_pos,joint10_pos,joint11_pos
0,0.0,0.0,0.0,1.7584037777851336e-05,0.0,130.87368774414062,5.83760702284053e-05,0.0,434.47882080078125,2.9386725145741366e-05,0.0,218.7182159423828,0.6545155644416809,0.2562258541584015,-0.23245272040367126,-0.022967422381043434,0.008352757431566715,0.011153534054756165,0.005288754124194384,0.22114455699920654,-0.40340515971183777,0.5693004131317139,-0.3432340919971466,-1.0373486280441284,0.7896023392677307,-0.7500280141830444,0.729203462600708
1,0.0,0.0,0.0,3.183310400345363e-05,0.0,236.92601013183594,9.825391771300929e-07,0.0,7.312799453735352,9.18179466680158e-06,0.0,68.33785247802734,0.7035759091377258,0.36056602001190186,-0.14042457938194275,-0.10878797620534897,0.022829797118902206,0.0208917073905468,0.01951850950717926,0.2640778720378876,-0.39671245217323303,0.642388641834259,-0.3039284646511078,-0.9192731976509094,0.8223143815994263,-0.8201211094856262,0.7032352685928345
2,1.7885507986648008e-05,0.0,133.11746215820312,4.306853952584788e-05,0.0,320.5486145019531,2.680677607713733e-05,0.0,199.5162811279297,0.0,0.0,0.0,0.7141790986061096,0.3222278356552124,-0.19184193015098572,-0.1734970510005951,0.015284419991075993,0.018323112279176712,0.007434269413352013,0.31636476516723633,-0.38030603528022766,0.6731811761856079,-0.290624737739563,-0.9060965180397034,0.8350532650947571,-0.8303999900817871,0.6818575263023376
3,5.603484623861732e-06,0.0,41.70536804199219,4.3531956180231646e-05,0.0,323.99774169921875,4.7196310333674774e-05,0.0,351.2705993652344,0.0,0.0,0.0,0.7146547436714172,0.2822442352771759,-0.0889878123998642,-0.17827461659908295,-0.005635733716189861,0.013351225294172764,-0.001875692163594067,0.368149995803833,-0.3530597984790802,0.7020494937896729,-0.32290297746658325,-0.9652109146118164,0.8305724263191223,-0.8569309711456299,0.7217087149620056
4,0.0,0.0,0.0,4.240631460561417e-05,0.0,315.61981201171875,4.604088462656364e-05,0.0,342.6710510253906,0.0,0.0,0.0,0.7492998242378235,0.2976812720298767,-0.0036635571159422398,-0.18672074377536774,-0.030094683170318604,0.0061496649868786335,0.015680089592933655,0.4220132827758789,-0.3157690167427063,0.7238138318061829,-0.37884238362312317,-1.0245639085769653,0.8112322688102722,-0.8703668117523193,0.8015469908714294
5,0.0,0.0,0.0,3.642931915237568e-05,0.0,271.1344909667969,4.113430986762978e-05,0.0,306.1526184082031,0.0,0.0,0.0,0.76798015832901,0.3204682767391205,0.047864027321338654,-0.20510795712471008,-0.05618131160736084,-0.0021971522364765406,0.060200463980436325,0.4708230495452881,-0.27184295654296875,0.7401419878005981,-0.451757550239563,-1.0776386260986328,0.7814256548881531,-0.8729660511016846,0.9151384830474854
6,0.0,0.0,0.0,3.226078115403652e-05,0.0,240.1090850830078,3.842129808617756e-05,0.0,285.9603271484375,0.0,0.0,0.0,0.7891709208488464,0.3550209105014801,0.057867709547281265,-0.22535300254821777,-0.08731039613485336,-0.013477426953613758,0.11492551118135452,0.5054521560668945,-0.22295209765434265,0.7541119456291199,-0.5339455604553223,-1.100685954093933,0.744763195514679,-0.8705064654350281,1.024038553237915
7,0.0,0.0,0.0,2.977304029627703e-05,0.0,221.59344482421875,3.742645276361145e-05,0.0,278.555908203125,0.0,0.0,0.0,0.8133752942085266,0.3862026333808899,0.060373254120349884,-0.23382486402988434,-0.12172292917966843,-0.025525709614157677,0.17367610335350037,0.5227306485176086,-0.16925114393234253,0.7662954330444336,-0.6196319460868835,-1.0840808153152466,0.7024936079978943,-0.8643181324005127,1.1104927062988281
8,3.0760686058783904e-05,0.0,228.9442596435547,3.042794378416147e-05,0.0,226.46775817871094,3.521506005199626e-05,0.0,262.0970764160156,0.0,0.0,0.0,0.8420015573501587,0.4263360798358917,0.10539461672306061,-0.24076224863529205,-0.16192562878131866,-0.04122218117117882,0.22894594073295593,0.5507487058639526,-0.10868073254823685,0.7757838368415833,-0.7000097036361694,-1.0838623046875,0.6515636444091797,-0.8510520458221436,1.1459829807281494
9,2.8892660338897258e-05,0.0,215.04100036621094,3.289018786745146e-05,0.0,244.7936248779297,2.4087463316391222e-05,0.0,179.27711486816406,0.0,0.0,0.0,0.8478042483329773,0.4398752450942993,0.16398176550865173,-0.2521979808807373,-0.20765352249145508,-0.06027420982718468,0.28206661343574524,0.5863141417503357,-0.037463586777448654,0.7775750160217285,-0.7670891880989075,-1.0743889808654785,0.5895906090736389,-0.8197988271713257,1.1264312267303467
10,2.709940599743277e-05,0.0,201.69424438476562,1.9966671970905736e-05,0.0,148.6070556640625,2.203375743192737e-06,0.0,16.399187088012695,0.0,0.0,0.0,0.8754209876060486,0.4180838167667389,0.1614174246788025,-0.2602108418941498,-0.2526191771030426,-0.07505261898040771,0.33898115158081055,0.6183260083198547,0.03970761597156525,0.7738684415817261,-0.8039877414703369,-1.0529789924621582,0.5213682055473328,-0.7768905758857727,1.0579164028167725
11,2.7632708224700764e-05,0.0,205.66348266601562,0.0,0.0,0.0,0.0,0.0,0.0,3.069188096560538e-05,0.0,228.4321746826172,0.8713277578353882,0.42093414068222046,0.08384455740451813,-0.26802030205726624,-0.297687292098999,-0.05588654428720474,0.35583075881004333,0.6497330665588379,0.1105635017156601,0.7913080453872681,-0.7951046824455261,-1.026137113571167,0.46485111117362976,-0.8215130567550659,1.058749794960022
12,2.475835572113283e-05,0.0,184.2703857421875,0.0,0.0,0.0,0.0,0.0,0.0,4.8528181650908664e-05,0.0,361.1833801269531,0.8146262168884277,0.4181811809539795,0.100672148168087,-0.27093812823295593,-0.329418808221817,0.005078380461782217,0.3305352032184601,0.6795001029968262,0.1144871637225151,0.8138967752456665,-0.7627705335617065,-1.0026111602783203,0.5223208069801331,-0.9049104452133179,1.0665026903152466
13,2.4267679691547528e-05,0.0,180.618408203125,0.0,0.0,0.0,0.0,0.0,0.0,5.0515347538748756e-05,0.0,375.973388671875,0.785658597946167,0.4454386532306671,0.1171635165810585,-0.2782443165779114,-0.3631843328475952,0.08427684754133224,0.3013518750667572,0.7038962841033936,0.054899316281080246,0.830734133720398,-0.7283354997634888,-0.9831730723381042,0.6081032752990723,-1.0303095579147339,1.0591899156570435
14,2.7274170861346647e-05,0.0,202.9949951171875,0.0,0.0,0.0,0.0,0.0,0.0,4.6951368858572096e-05,0.0,349.44757080078125,0.7724155783653259,0.4546022117137909,0.12370376288890839,-0.28542229533195496,-0.3885675370693207,0.17072615027427673,0.27180030941963196,0.7259768843650818,-0.045563533902168274,0.8275593519210815,-0.6910991072654724,-0.968056857585907,0.7221514582633972,-1.1508268117904663,1.0387699604034424
15,3.0977218557382e-05,0.0,230.5558624267578,0.0,0.0,0.0,0.0,0.0,0.0,4.172267654212192e-05,0.0,310.53167724609375,0.7706261873245239,0.4637605845928192,0.11779220402240753,-0.2889901399612427,-0.3938596546649933,0.2496803253889084,0.2467520833015442,0.7486364841461182,-0.1641393005847931,0.8026759028434753,-0.6506143808364868,-0.9575846195220947,0.8333232998847961,-1.2513047456741333,1.0087209939956665
16,3.4083914215443656e-05,0.0,253.67822265625,0.0,0.0,0.0,0.0,0.0,0.0,3.8129590393509716e-05,0.0,283.7892150878906,0.775145947933197,0.4712749123573303,0.10893432796001434,-0.28890568017959595,-0.3797164559364319,0.30983394384384155,0.2271147072315216,0.7721895575523376,-0.2901269197463989,0.7614342570304871,-0.6071884632110596,-0.9489749670028687,0.9356119632720947,-1.302547574043274,0.9730283617973328
17,3.633497180999257e-05,0.0,270.43231201171875,0.0,0.0,0.0,0.0,0.0,0.0,3.629370985436253e-05,0.0,270.12518310546875,0.7860157489776611,0.48284488916397095,0.10411606729030609,-0.2857731878757477,-0.3498505651950836,0.3548959791660309,0.21171428263187408,0.7962596416473389,-0.41522300243377686,0.7131679058074951,-0.5609384179115295,-0.9397513270378113,1.0157678127288818,-1.3128803968429565,0.9333462715148926
18,3.7892968975938857e-05,0.0,282.028076171875,0.0,0.0,0.0,0.0,0.0,0.0,3.486599962343462e-05,0.0,259.49908447265625,0.8021186590194702,0.5015426278114319,0.1048826202750206,-0.2819412052631378,-0.31074661016464233,0.388204962015152,0.19691455364227295,0.819451630115509,-0.5325276851654053,0.6632428765296936,-0.5123856067657471,-0.9270057082176208,1.0740132331848145,-1.2933064699172974,0.8904792666435242
