Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z,joint0_pos,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint7_pos,joint8_pos,joint9_pos,joint10_pos,joint11_pos,obs
0,0.0,0.0,0.0,5.895037611480802e-05,0.0,438.75323486328125,0.0,0.0,0.0,3.189528433722444e-05,0.0,237.3887939453125,-0.3759228587150574,-0.1294369399547577,-0.08761140704154968,-0.015199445188045502,-0.010999796912074089,-0.03260304778814316,-0.0151284234598279,0.5923323631286621,-0.4796731472015381,0.3636881411075592,-0.6860498189926147,-1.0257402658462524,0.5792748332023621,-0.7174789905548096,0.6536255478858948,"[-0.3759228587150574, -0.1294369399547577, -0.08761140704154968, 2.0954933166503906, 1.1997427940368652, 0.5510178804397583, 0.01777687668800354, -0.022026479244232178, -0.999599277973175, 1.0, 0.0, -1.0, -0.015199445188045502, -0.010999796912074089, -0.03260304778814316, -0.0151284234598279, 0.19233235716819763, -0.07967314124107361, -0.03631186485290527, -0.28604981303215027, -0.2257402539253235, -0.2207251787185669, 0.08252102136611938, -0.14637446403503418, -1.1151554584503174, -1.9808638095855713, -3.37882137298584, -1.4172616004943848, 0.6500558257102966, -2.888302803039551, 4.255154132843018, -5.400130271911621, -8.718417167663574, 1.9533042907714844, -10.010547637939453, 6.210622787475586, 0.8594167828559875, 0.9730725288391113, -3.2063815593719482, -1.7572693824768066, 0.8182170391082764, 1.8071703910827637, 0.4853324592113495, 1.923766851425171, -1.3069463968276978, -0.7593786716461182, -2.062103033065796, 2.326988935470581]"
1,0.0,0.0,0.0,2.1158190065762028e-05,0.0,157.47525024414062,0.0,0.0,0.0,0.0,0.0,0.0,-0.20880712568759918,-0.1381712108850479,-0.20351529121398926,-0.039926737546920776,-0.06825965642929077,-0.15858830511569977,-0.1154622957110405,0.6016162633895874,-0.5047363042831421,0.46421322226524353,-0.7570756077766418,-1.1000133752822876,0.5573095083236694,-0.9271149635314941,0.7786892056465149,"[-0.20880712568759918, -0.1381712108850479, -0.20351529121398926, 4.013823509216309, 1.4735015630722046, 0.6022562980651855, 0.044629234820604324, -0.09517518430948257, -0.9944596290588379, 1.0, 0.0, -1.0, -0.039926737546920776, -0.06825965642929077, -0.15858830511569977, -0.1154622957110405, 0.20161625742912292, -0.10473629832267761, 0.06421321630477905, -0.35707560181617737, -0.30001336336135864, -0.24269050359725952, -0.12711495161056519, -0.021310806274414062, -0.9324444532394409, -3.078134298324585, -6.954573154449463, -6.69787073135376, 0.8410947918891907, -1.3024431467056274, 5.639947414398193, -1.9849990606307983, -3.4385204315185547, -0.3438228964805603, -10.815120697021484, 5.81724214553833, 0.1835116297006607, -0.7483641505241394, -1.8631497621536255, -1.3890280723571777, 1.0348020792007446, 0.16200393438339233, 1.5997806787490845, -0.9985626935958862, -0.8924048542976379, 0.10913226753473282, -1.854501485824585, 1.8257325887680054]"
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10533295571804047,-0.2072998732328415,-0.43823277950286865,-0.04550125449895859,-0.11849240213632584,-0.2992413341999054,-0.2598015367984772,0.6452329158782959,-0.5115770697593689,0.5891492366790771,-0.7800434827804565,-1.1293292045593262,0.6224648952484131,-1.078606367111206,0.9786297082901001,"[-0.10533295571804047, -0.2072998732328415, -0.43823277950286865, 3.939330577850342, 1.3129205703735352, 0.423184335231781, 0.06987323611974716, -0.17259036004543304, -0.9825119972229004, 1.0, 0.0, -1.0, -0.04550125449895859, -0.11849240213632584, -0.2992413341999054, -0.2598015367984772, 0.24523290991783142, -0.11157706379890442, 0.18914923071861267, -0.38004347681999207, -0.3293291926383972, -0.17753511667251587, -0.2786063551902771, 0.17862969636917114, -0.1760178506374359, -2.3949592113494873, -7.204514503479004, -7.264457702636719, 2.878899574279785, 0.5382159352302551, 6.472442626953125, -0.7873064279556274, 2.7387211322784424, 2.616166114807129, -5.92141580581665, 9.718225479125977, -0.6350639462471008, -1.1585731506347656, -2.13185977935791, -0.3379310071468353, 2.1280956268310547, 0.5051679611206055, 0.8637419939041138, -0.55608069896698, 0.19798807799816132, -0.6000505089759827, -1.322072148323059, 1.523735523223877]"
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036542899906635284,-0.2654710114002228,-0.595861554145813,-0.06622301042079926,-0.17255176603794098,-0.4441653788089752,-0.3743901550769806,0.748013973236084,-0.4815128445625305,0.7146973609924316,-0.7945719957351685,-1.034193515777588,0.6170320510864258,-1.1981875896453857,1.158492088317871,"[-0.036542899906635284, -0.2654710114002228, -0.595861554145813, 3.649840831756592, 1.4693694114685059, 0.15991303324699402, 0.09633073210716248, -0.24779506027698517, -0.9640117883682251, 1.0, 0.0, -1.0, -0.06622301042079926, -0.17255176603794098, -0.4441653788089752, -0.3743901550769806, 0.3480139672756195, -0.08151283860206604, 0.31469735503196716, -0.394571989774704, -0.23419350385665894, -0.18296796083450317, -0.3981875777244568, 0.35849207639694214, -1.6061469316482544, -3.1487817764282227, -7.334251880645752, -4.6294450759887695, 6.269554138183594, 1.183174729347229, 5.645824432373047, -0.3509576618671417, 5.048027515411377, 2.650042772293091, -4.550349235534668, 7.609689235687256, -0.7587475776672363, -1.3976534605026245, -2.486056327819824, -0.43750396370887756, 2.998978853225708, -0.1622559130191803, 0.4582204520702362, 0.2549784183502197, 0.6373154520988464, 0.16151943802833557, -1.0417506694793701, 1.80386483669281]"
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0255410298705101,-0.29479002952575684,-0.6910052299499512,-0.1146106868982315,-0.24911274015903473,-0.5957085490226746,-0.4267856180667877,0.88692307472229,-0.47288113832473755,0.7850856781005859,-0.7731291055679321,-0.9088749885559082,0.7277357578277588,-1.209791898727417,1.286221981048584,"[-0.0255410298705101, -0.29479002952575684, -0.6910052299499512, 2.913972854614258, 1.6609967947006226, 0.04940140247344971, 0.12609654664993286, -0.3087516725063324, -0.9427467584609985, 1.0, 0.0, -1.0, -0.1146106868982315, -0.24911274015903473, -0.5957085490226746, -0.4267856180667877, 0.48692306876182556, -0.07288113236427307, 0.38508567214012146, -0.37312909960746765, -0.10887497663497925, -0.07226425409317017, -0.40979188680648804, 0.48622196912765503, -2.8748891353607178, -4.133780002593994, -7.674483776092529, -1.4867087602615356, 7.169961929321289, 0.18278013169765472, 2.200707197189331, 2.0271623134613037, 7.146821975708008, 5.3490095138549805, 0.6082234382629395, 6.199197292327881, -0.7302783131599426, -1.3156752586364746, -2.489511251449585, -0.573692798614502, 2.8538436889648438, -0.25248175859451294, 0.008779525756835938, 0.3548933267593384, 1.040725827217102, 0.5030125975608826, -0.9019958972930908, 1.545306921005249]"
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03586258739233017,-0.32838675379753113,-0.694333553314209,-0.15495385229587555,-0.2923182249069214,-0.6108654141426086,-0.3870013356208801,1.0412119626998901,-0.468438982963562,0.8107171058654785,-0.6824440956115723,-0.7487276792526245,0.7487649321556091,-1.204779863357544,1.3535226583480835,"[0.03586258739233017, -0.32838675379753113, -0.694333553314209, 0.5381420850753784, 1.5178896188735962, 0.1307189166545868, 0.15477699041366577, -0.3190029263496399, -0.9350301623344421, 1.0, 0.0, -1.0, -0.15495385229587555, -0.2923182249069214, -0.6108654141426086, -0.3870013356208801, 0.641211986541748, -0.06843897700309753, 0.41071709990501404, -0.2824440896511078, 0.05127233266830444, -0.051235079765319824, -0.404779851436615, 0.5535226464271545, -3.768395185470581, -2.4650003910064697, 5.5533746490255e-05, 1.6230404376983643, 7.982353210449219, 0.44982603192329407, 0.5126798748970032, 5.913067817687988, 7.927751064300537, -3.8642690181732178, 1.5531264543533325, 0.9887427687644958, -2.1124229431152344, -0.6695898771286011, -2.587449789047241, -0.5744251608848572, 1.23191237449646, -1.2448863983154297, 0.6475664377212524, 0.8030602335929871, 3.3638644218444824, -1.1528403759002686, -0.8703687787055969, 1.1480729579925537]"
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005463242530822754,-0.4392916262149811,-0.8285403251647949,-0.2581917643547058,-0.29957306385040283,-0.6108654141426086,-0.33575984835624695,1.1683961153030396,-0.48637625575065613,0.8597979545593262,-0.5427111983299255,-0.5473241806030273,0.59555584192276,-1.3334239721298218,1.3200360536575317,"[-0.005463242530822754, -0.4392916262149811, -0.8285403251647949, -0.8455416560173035, 1.4449248313903809, 0.43586990237236023, 0.1804739385843277, -0.31367114186286926, -0.9322227835655212, 1.0, 0.0, -1.0, -0.2581917643547058, -0.29957306385040283, -0.6108654141426086, -0.33575984835624695, 0.7683961391448975, -0.08637624979019165, 0.4597979485988617, -0.14271119236946106, 0.2526758313179016, -0.20444416999816895, -0.5334239602088928, 0.5200360417366028, -5.6226115226745605, 1.4850209951400757, 5.328237602952868e-05, 3.250156879425049, 4.654458045959473, -2.258655309677124, 3.2580597400665283, 7.390350818634033, 12.044279098510742, -8.761385917663574, -8.667903900146484, -3.758873462677002, -2.4003467559814453, 2.2653753757476807, -3.14473032951355, -0.02973046898841858, -1.5984117984771729, -3.2923855781555176, 0.9702173471450806, 0.4813132882118225, 6.385868549346924, -4.219672679901123, -4.102469444274902, 0.07905302196741104]"
7,0.0,0.0,0.0,4.084840475115925e-05,0.0,304.0246887207031,0.0,0.0,0.0,0.0,0.0,0.0,-0.06963306665420532,-0.5198476314544678,-0.8754636645317078,-0.3649808466434479,-0.22714103758335114,-0.6108741760253906,-0.24639268219470978,1.1755962371826172,-0.5725047588348389,0.8992400765419006,-0.39464661478996277,-0.21241125464439392,0.5657922029495239,-1.4850494861602783,1.202396035194397,"[-0.06963306665420532, -0.5198476314544678, -0.8754636645317078, -1.1698542833328247, 1.7317042350769043, 0.945449709892273, 0.20468991994857788, -0.2938835918903351, -0.9336677193641663, 1.0, 0.0, -1.0, -0.3649808466434479, -0.22714103758335114, -0.6108741760253906, -0.24639268219470978, 0.7755962610244751, -0.1725047528743744, 0.49924007058143616, 0.005353391170501709, 0.5875887870788574, -0.23420780897140503, -0.6850494742393494, 0.402396023273468, -5.300813674926758, 4.108046531677246, 0.01583988219499588, 5.122317314147949, -2.4974846839904785, -4.159958839416504, 0.984776496887207, 7.169950485229492, 19.83159065246582, -0.20922337472438812, -7.364409446716309, -6.411937713623047, -4.238373279571533, 2.8345327377319336, -2.727311372756958, 0.1271003782749176, -0.5209512114524841, -4.177253723144531, -0.5473309755325317, 0.3981383442878723, 10.031784057617188, -4.902405261993408, -4.890642166137695, 0.05047322064638138]"
8,0.0,0.0,0.0,1.3166127246222459e-06,0.0,9.799226760864258,0.0,0.0,0.0,0.0,0.0,0.0,-0.15901601314544678,-0.5150877237319946,-0.9572575688362122,-0.4798917770385742,-0.126706063747406,-0.6108405590057373,-0.12344805151224136,1.068462610244751,-0.6549115180969238,0.8561280369758606,-0.27145254611968994,0.1886308640241623,0.4958045482635498,-1.6320666074752808,1.0733716487884521,"[-0.15901601314544678, -0.5150877237319946, -0.9572575688362122, -1.536287784576416, 2.1531014442443848, 1.231791377067566, 0.2369726598262787, -0.2753419578075409, -0.931681752204895, 1.0, 0.0, -1.0, -0.4798917770385742, -0.126706063747406, -0.6108405590057373, -0.12344805151224136, 0.6684626340866089, -0.25491151213645935, 0.4561280310153961, 0.12854745984077454, 0.9886308908462524, -0.30419546365737915, -0.8320665955543518, 0.2733716368675232, -6.10059928894043, 5.842417240142822, -0.003074350766837597, 6.427187442779541, -6.213923931121826, -4.849931716918945, -4.341266632080078, 5.721225738525391, 20.062471389770508, -5.623208045959473, -8.211370468139648, -9.036126136779785, -3.3067455291748047, 2.6980624198913574, -2.5338873863220215, -0.36079081892967224, -0.973863959312439, -3.609496593475342, -2.0333902835845947, 0.36165523529052734, 10.032140731811523, -3.5340676307678223, -4.453500747680664, -2.0164287090301514]"
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19186434149742126,-0.44937193393707275,-1.2572693824768066,-0.6127187609672546,0.002495712600648403,-0.6108653545379639,-0.011699039489030838,0.9291531443595886,-0.7694852352142334,0.73038649559021,-0.1767152100801468,0.5899750590324402,0.32534921169281006,-1.786275863647461,0.8886806964874268,"[-0.19186434149742126, -0.44937193393707275, -1.2572693824768066, -1.5480480194091797, 2.0351550579071045, 1.276000738143921, 0.26943832635879517, -0.25208622217178345, -0.9294382333755493, 1.0, 0.0, -1.0, -0.6127187609672546, 0.002495712600648403, -0.6108653545379639, -0.011699039489030838, 0.5291531085968018, -0.3694852292537689, 0.3303864896297455, 0.2232847958803177, 1.3899750709533691, -0.4746508002281189, -0.986275851726532, 0.0886806845664978, -6.891454219818115, 6.6360602378845215, 2.540473360568285e-07, 4.773125171661377, -7.297916889190674, -6.390186309814453, -6.919906139373779, 4.250424861907959, 20.07126808166504, -8.35279369354248, -8.0419282913208, -9.03164291381836, -3.0288918018341064, 2.2644522190093994, -1.536758542060852, -0.4890260398387909, -0.021621353924274445, -0.7390760183334351, -1.0223650932312012, 1.0416725873947144, 8.963406562805176, -3.153611660003662, -2.61873459815979, -1.8535515069961548]"
