Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z
0,0.0,0.0,0.0,2.9838349746569293e-06,0.0,22.20795440673828,0.0,0.0,0.0,0.0,0.0,0.0,-0.004848452750593424,0.004700027406215668,0.6043524146080017
1,0.0,0.0,0.0,2.910995863203425e-05,0.0,216.65830993652344,0.0,0.0,0.0,0.0,0.0,0.0,0.01562048401683569,-0.06285370141267776,0.3625587522983551
2,1.0704013220674824e-05,0.0,79.66735076904297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07593967765569687,-0.12185399234294891,0.01661982573568821
3,4.789602098753676e-05,0.0,356.4783935546875,0.0,0.0,0.0,0.0,0.0,0.0,4.936325058224611e-05,0.0,367.3985900878906,0.017674677073955536,-0.059288885444402695,-0.09779974073171616
4,4.517111665336415e-05,0.0,336.1976013183594,0.0,0.0,0.0,0.0,0.0,0.0,1.72711461345898e-05,0.0,128.544921875,-0.09264340996742249,-0.13730362057685852,-0.0048360503278672695
5,2.8077000024495646e-05,0.0,208.97023010253906,0.0,0.0,0.0,0.0,0.0,0.0,7.335378995776409e-06,0.0,54.595428466796875,-0.19535252451896667,-0.25253787636756897,-0.03834076598286629
6,0.0,0.0,0.0,4.4373577111400664e-05,0.0,330.26171875,0.0,0.0,0.0,0.0,0.0,0.0,-0.22093914449214935,-0.34751155972480774,-0.3655795753002167
7,0.0,0.0,0.0,4.9711819883668795e-05,0.0,369.9929504394531,0.0,0.0,0.0,0.0,0.0,0.0,-0.10375215858221054,-0.38609564304351807,-0.3529602289199829
8,3.333150380058214e-05,0.0,248.07823181152344,3.7885463825659826e-05,0.0,281.97222900390625,0.0,0.0,0.0,0.0,0.0,0.0,-0.04428067430853844,-0.5159787535667419,-0.4331446886062622
9,3.628896956797689e-05,0.0,270.08990478515625,3.6330835428088903e-05,0.0,270.4014892578125,4.216824163449928e-05,0.0,313.8479309082031,0.0,0.0,0.0,-0.16499830782413483,-0.7073261141777039,-0.06473473459482193
10,0.0,0.0,0.0,2.3771479391143657e-05,0.0,176.92530822753906,1.8322267351322807e-05,0.0,136.36814880371094,0.0,0.0,0.0,-0.198822021484375,-0.8421893119812012,-0.06634923815727234
11,0.0,0.0,0.0,4.3654847104335204e-05,0.0,324.912353515625,3.7048448575660586e-05,0.0,275.7425231933594,0.0,0.0,0.0,-0.15659752488136292,-0.9381672143936157,-0.07779926061630249
12,0.0,0.0,0.0,0.0,0.0,0.0,4.467666076379828e-05,0.0,332.5174865722656,0.0,0.0,0.0,-0.24999380111694336,-0.9969301223754883,-0.17144806683063507
13,0.0,0.0,0.0,3.797513858927459e-09,0.0,0.028263967484235764,1.6573600078118034e-05,0.0,123.35324096679688,1.572311703057494e-05,0.0,117.0233154296875,-0.31962504982948303,-1.0640419721603394,-0.31724342703819275
14,3.553239002940245e-05,0.0,264.4588623046875,0.0,0.0,0.0,0.0,0.0,0.0,5.025228165322915e-05,0.0,374.01544189453125,-0.35142216086387634,-0.9151989817619324,-0.35632264614105225
15,5.251812399365008e-05,0.0,390.8795471191406,0.0,0.0,0.0,0.0,0.0,0.0,4.860844637732953e-05,0.0,361.7807922363281,-0.3813866674900055,-0.9477545619010925,-0.16759195923805237
16,3.774034485104494e-05,0.0,280.8921203613281,0.0,0.0,0.0,0.0,0.0,0.0,4.8182391765294597e-05,0.0,358.6097412109375,-0.4795556962490082,-1.0652519464492798,-0.03656625747680664
