Time,LF_FOOT_X,LF_FOOT_Y,LF_FOOT_Z,LH_FOOT_X,LH_FOOT_Y,LH_FOOT_Z,RF_FOOT_X,RF_FOOT_Y,RF_FOOT_Z,RH_FOOT_X,RH_FOOT_Y,RH_FOOT_Z,Base_lin_vel_X,Base_lin_vel_Y,Base_lin_vel_Z,joint0_pos,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint7_pos,joint8_pos,joint9_pos,joint10_pos,joint11_pos,obs
0,0.0,0.0,0.0,0.0,0.0,0.0,3.2133175409398973e-06,0.0,23.915937423706055,0.0,0.0,0.0,0.15420353412628174,0.04640345647931099,0.45130816102027893,-0.009979447349905968,-0.015002657659351826,-0.010566630400717258,-0.015595177188515663,0.16639137268066406,-0.14955127239227295,0.15628662705421448,-0.17913858592510223,-0.2704881429672241,0.28179872035980225,-0.25960129499435425,0.3275560438632965,"[0.15420353412628174, 0.04640345647931099, 0.45130816102027893, -0.005714256316423416, -0.010774517431855202, -0.9999257922172546, -5.002615928649902, -0.02377491630613804, -0.005544424522668123, 0.004655361175537109]"
1,0.0,0.0,0.0,2.515698440674896e-07,0.0,1.8723728656768799,0.0,0.0,0.0,0.0,0.0,0.0,0.1967533975839615,0.04982278496026993,0.6590238809585571,-0.030835378915071487,-0.027298955246806145,-0.03178391605615616,-0.027899255976080894,0.2251247614622116,-0.16373293101787567,0.19482529163360596,-0.2340775430202484,-0.3654922544956207,0.31433263421058655,-0.30991995334625244,0.44087764620780945,"[0.1967533975839615, 0.04982278496026993, 0.6590238809585571, -0.007283618673682213, -0.026320988312363625, -0.9996271729469299, -5.006216526031494, 0.004651780240237713, -0.01775282248854637, -0.001161813735961914]"
2,0.0,0.0,0.0,2.1029047729825834e-06,0.0,15.651406288146973,0.0,0.0,0.0,0.0,0.0,0.0,0.1754404604434967,0.02096378244459629,0.5033308267593384,-0.04371093958616257,-0.028856953606009483,-0.04454057663679123,-0.028935516253113747,0.30953386425971985,-0.19356437027454376,0.25101277232170105,-0.3034651577472687,-0.5136516094207764,0.3653135597705841,-0.39643359184265137,0.5736820697784424,"[0.1754404604434967, 0.02096378244459629, 0.5033308267593384, -0.00447990745306015, -0.03307865560054779, -0.9994428753852844, -5.009779453277588, 0.04299110919237137, -0.029289305210113525, -0.008886575698852539]"
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12048564851284027,-0.01689373329281807,0.32127735018730164,-0.03154463320970535,-0.02229537069797516,-0.04688248410820961,-0.006047988310456276,0.3671802878379822,-0.25140342116355896,0.3332783281803131,-0.3891758322715759,-0.5989878177642822,0.4475702941417694,-0.5402153134346008,0.6137703061103821,"[0.12048564851284027, -0.01689373329281807, 0.32127735018730164, 0.004307646304368973, -0.02985764667391777, -0.9995447397232056, -5.0122833251953125, 0.08130451291799545, -0.03692406043410301, -0.01648736000061035]"
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.633004083298147e-06,0.0,71.69609069824219,0.058090727776288986,-0.019847126677632332,0.13538484275341034,-0.010532636195421219,-0.04560573771595955,-0.06819973886013031,0.043143380433321,0.3706616461277008,-0.32109102606773376,0.4163267910480499,-0.4965342581272125,-0.6119141578674316,0.5065352916717529,-0.6816134452819824,0.6077261567115784,"[0.058090727776288986, -0.019847126677632332, 0.13538484275341034, 0.01914188638329506, -0.03295334428548813, -0.9992737174034119, -5.013132572174072, 0.12824876606464386, -0.040804505348205566, -0.025769472122192383]"
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05667982995510101,-0.03924577310681343,-0.03731897845864296,0.008486146107316017,-0.08905985206365585,-0.10289165377616882,0.10318363457918167,0.32602837681770325,-0.3925796151161194,0.5008573532104492,-0.5972451567649841,-0.5545283555984497,0.6023017168045044,-0.8238320350646973,0.6157405972480774,"[0.05667982995510101, -0.03924577310681343, -0.03731897845864296, 0.03723603114485741, -0.03975886106491089, -0.9985154271125793, -5.0126051902771, 0.1875145435333252, -0.04112100228667259, -0.03751015663146973]"
6,0.00010122088133357465,0.0,753.3623046875,0.0,0.0,0.0,0.0,0.0,0.0,1.3606593711301684e-05,0.0,101.27054595947266,0.08927454799413681,-0.08833077549934387,-0.06794711947441101,0.009455458261072636,-0.12955449521541595,-0.13338525593280792,0.1638920158147812,0.2849181294441223,-0.43952852487564087,0.5889323949813843,-0.678065299987793,-0.5152856707572937,0.7048254013061523,-0.9709287285804749,0.6350248456001282,"[0.08927454799413681, -0.08833077549934387, -0.06794711947441101, 0.051279086619615555, -0.05094622075557709, -0.9973838925361633, -5.011322021484375, 0.2511257827281952, -0.03871350735425949, -0.049987077713012695]"
7,6.15864701103419e-05,0.0,458.3730773925781,0.0,0.0,0.0,0.0,0.0,0.0,4.77206522191409e-05,0.0,355.1731262207031,0.04090634733438492,-0.1552361696958542,7.33155757188797e-05,-0.01638948544859886,-0.16739562153816223,-0.14474499225616455,0.16204392910003662,0.27752506732940674,-0.4485745131969452,0.6747901439666748,-0.70945143699646,-0.5074533224105835,0.8084803223609924,-1.117723822593689,0.6699973344802856,"[0.04090634733438492, -0.1552361696958542, 7.33155757188797e-05, 0.051592133939266205, -0.07504764199256897, -0.995844841003418, -5.010217666625977, 0.2947803735733032, -0.037568334490060806, -0.05818963050842285]"
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1126748833921738e-05,0.0,157.24124145507812,-0.02934708446264267,-0.19477282464504242,-0.044708527624607086,-0.017004117369651794,-0.18505068123340607,-0.11883257329463959,0.16520608961582184,0.25262975692749023,-0.4577960968017578,0.7411426305770874,-0.7158954739570618,-0.49546849727630615,0.881337583065033,-1.2496747970581055,0.6820001006126404,"[-0.02934708446264267, -0.19477282464504242, -0.044708527624607086, 0.05197863280773163, -0.08129751682281494, -0.9953336119651794, -5.008075714111328, 0.3319944441318512, -0.03698218613862991, -0.06488156318664551]"
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09511234611272812,-0.16870398819446564,-0.16828851401805878,-0.002268410287797451,-0.21273458003997803,-0.08457819372415543,0.1779191493988037,0.1915832757949829,-0.49180659651756287,0.7572260499000549,-0.7225286364555359,-0.5127311944961548,0.8903710842132568,-1.239790678024292,0.6881250739097595,"[-0.09511234611272812, -0.16870398819446564, -0.16828851401805878, 0.058464545756578445, -0.0757950097322464, -0.9954078197479248, -5.004208087921143, 0.36855918169021606, -0.03434998169541359, -0.07154202461242676]"
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09408917278051376,-0.14882339537143707,-0.32691046595573425,-0.0024486437905579805,-0.2603466510772705,-0.027271725237369537,0.16781198978424072,0.1347064971923828,-0.5427759289741516,0.7265210747718811,-0.7261273264884949,-0.5256868600845337,0.8295502662658691,-1.1529529094696045,0.8113390803337097,"[-0.09408917278051376, -0.14882339537143707, -0.32691046595573425, 0.06305159628391266, -0.07130622863769531, -0.9954594969749451, -5.000315189361572, 0.392188161611557, -0.02884107641875744, -0.0757439136505127]"
